Seed,Arm,Rep,Time_s,StopReason,CPU_before_pct,Wallclock,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
3,scalar,0,0.33253589999912947,VF2LayoutStopReason.NO_SOLUTION_FOUND,1.9,1789352238.0167043,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,1,0.3247527000003174,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352238.3954487,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,2,0.33372070000041276,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352238.7801661,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,3,0.3371372000001429,VF2LayoutStopReason.NO_SOLUTION_FOUND,9.1,1789352239.1582313,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,4,0.34658699999999953,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352239.5558016,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,5,0.33872730000075535,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352239.9531767,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,6,0.34028959999886865,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352240.3333313,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,7,0.33451160000004165,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352240.7274475,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,8,0.34099070000047504,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352241.123562,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,9,0.3278743000009854,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352241.5027573,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,10,0.3300832000004448,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352241.8830128,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,11,0.3409453999993275,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352242.274465,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,12,0.3398383999992802,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352242.6661866,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,13,0.3632865999989008,VF2LayoutStopReason.NO_SOLUTION_FOUND,3.8,1789352243.0749307,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,14,0.3530860999999277,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352243.47026,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,15,0.3261672999997245,VF2LayoutStopReason.NO_SOLUTION_FOUND,7.3,1789352243.860821,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,16,0.33485450000080164,VF2LayoutStopReason.NO_SOLUTION_FOUND,7.7,1789352244.2485914,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,17,0.3356234000002587,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352244.634786,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,18,0.33112179999989166,VF2LayoutStopReason.NO_SOLUTION_FOUND,6.8,1789352245.0087538,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,19,0.33915329999945243,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352245.4004035,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,0,0.33804520000012417,VF2LayoutStopReason.NO_SOLUTION_FOUND,12.1,1789352246.1302876,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,1,0.33680009999989124,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352246.5109513,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,2,0.330087000000276,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352246.8909197,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,3,0.339771800001472,VF2LayoutStopReason.NO_SOLUTION_FOUND,1.8,1789352247.2947643,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,4,0.33008910000171454,VF2LayoutStopReason.NO_SOLUTION_FOUND,2.6,1789352247.6663306,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,5,0.32962399999996705,VF2LayoutStopReason.NO_SOLUTION_FOUND,11.1,1789352248.0472925,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,6,0.3409969000003912,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352248.4438396,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,7,0.33267800000066927,VF2LayoutStopReason.NO_SOLUTION_FOUND,2.6,1789352248.8308465,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,8,0.3315923999998631,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352249.2065434,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,9,0.3488605999991705,VF2LayoutStopReason.NO_SOLUTION_FOUND,2.2,1789352249.6020362,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,10,0.3338415999987774,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352249.9827816,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,11,0.33773290000135603,VF2LayoutStopReason.NO_SOLUTION_FOUND,3.0,1789352250.3794193,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,12,0.3513280000006489,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352250.7757585,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,13,0.3307258999993792,VF2LayoutStopReason.NO_SOLUTION_FOUND,6.2,1789352251.1551661,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,14,0.324275499999203,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352251.5453079,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,15,0.3289158999996289,VF2LayoutStopReason.NO_SOLUTION_FOUND,9.3,1789352251.9250288,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
