seed,stop_reason,elapsed_ms,rows,cols,circuit_qubits,call_limit,platform,processor,python,qiskit
0,VF2LayoutStopReason.NO_SOLUTION_FOUND,334.663,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
1,VF2LayoutStopReason.SOLUTION_FOUND,368.399,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
2,VF2LayoutStopReason.NO_SOLUTION_FOUND,329.363,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
3,VF2LayoutStopReason.NO_SOLUTION_FOUND,330.603,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
4,VF2LayoutStopReason.NO_SOLUTION_FOUND,339.204,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
5,VF2LayoutStopReason.NO_SOLUTION_FOUND,338.775,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
6,VF2LayoutStopReason.NO_SOLUTION_FOUND,333.569,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
7,VF2LayoutStopReason.NO_SOLUTION_FOUND,335.181,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
8,VF2LayoutStopReason.SOLUTION_FOUND,339.19,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
9,VF2LayoutStopReason.NO_SOLUTION_FOUND,344.088,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
10,VF2LayoutStopReason.NO_SOLUTION_FOUND,328.772,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
11,VF2LayoutStopReason.NO_SOLUTION_FOUND,333.237,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
12,VF2LayoutStopReason.NO_SOLUTION_FOUND,331.604,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
13,VF2LayoutStopReason.NO_SOLUTION_FOUND,325.139,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
14,VF2LayoutStopReason.NO_SOLUTION_FOUND,340.181,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
15,VF2LayoutStopReason.NO_SOLUTION_FOUND,328.163,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
16,VF2LayoutStopReason.NO_SOLUTION_FOUND,346.379,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
17,VF2LayoutStopReason.NO_SOLUTION_FOUND,380.528,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
18,VF2LayoutStopReason.NO_SOLUTION_FOUND,328.701,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
19,VF2LayoutStopReason.NO_SOLUTION_FOUND,343.414,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
20,VF2LayoutStopReason.NO_SOLUTION_FOUND,343.33,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
21,VF2LayoutStopReason.NO_SOLUTION_FOUND,336.378,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
22,VF2LayoutStopReason.NO_SOLUTION_FOUND,346.725,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
23,VF2LayoutStopReason.NO_SOLUTION_FOUND,333.191,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
24,VF2LayoutStopReason.NO_SOLUTION_FOUND,336.019,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
25,VF2LayoutStopReason.SOLUTION_FOUND,337.625,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
26,VF2LayoutStopReason.NO_SOLUTION_FOUND,356.978,6,7,42,3000000,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
