arm,seed,stop_reason,elapsed_ms,rows,cols,circuit_qubits,call_limit,basis_gates,platform,processor,python,qiskit
dummy,0,NO_SOLUTION_FOUND,330.074,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,1,SOLUTION_FOUND,344.946,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,2,NO_SOLUTION_FOUND,359.304,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,3,NO_SOLUTION_FOUND,347.279,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,4,NO_SOLUTION_FOUND,340.324,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,5,NO_SOLUTION_FOUND,339.435,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,6,NO_SOLUTION_FOUND,334.02,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,7,NO_SOLUTION_FOUND,335.457,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,8,SOLUTION_FOUND,334.934,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,9,NO_SOLUTION_FOUND,339.782,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,10,NO_SOLUTION_FOUND,337.057,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,11,NO_SOLUTION_FOUND,336.951,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,12,NO_SOLUTION_FOUND,343.648,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,13,NO_SOLUTION_FOUND,329.192,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
