Topology,Physical,Spare,Qubits,PerfectMatchingExists,L2_min_s,L2_median_s,L3_min_s,L3_median_s,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
grid_6x7,42,0,42,True,0.5575759999992442,0.5680981499999689,9.158177299999807,9.616234650000479,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid_6x7,42,4,38,True,0.009774099999049213,0.009855899999820394,0.02209970000149042,0.022841650000373193,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid_7x8,56,0,56,True,0.6407627999997203,0.6434337999999116,7.335293199999796,7.341088049999598,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid_7x8,56,4,52,True,0.011261499999818625,0.011652449999928649,0.025797199999942677,0.026574950000394892,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line_42,42,0,42,True,0.5272172999993927,0.5289552499998535,6.141248200001428,6.14421829999992,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line_42,42,4,38,True,0.008695000000443542,0.009198400000059337,0.020591700000295532,0.020760400000654045,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
ring_42,42,0,42,True,0.008893599999282742,0.008910299999115523,0.020182199999908335,0.02085845000055997,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
ring_42,42,4,38,True,0.009712200000649318,0.010127100000318023,0.022377299999789102,0.023699449999185163,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
full_20,20,0,20,True,0.009844500000326661,0.01127970000015921,0.025115899999946123,0.02576225000029808,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
full_20,20,4,16,True,0.00967800000034913,0.009782600000107777,0.03190379999978177,0.03242324999973789,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
