seed,stop_reason,elapsed_ms,rows,cols,circuit_qubits,call_limit,pass,platform,processor,python,qiskit
0,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,335.015,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
1,VF2PostLayoutStopReason.SOLUTION_FOUND,348.371,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
2,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,330.533,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
3,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,330.462,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
4,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,337.997,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
5,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,340.738,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
6,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,337.938,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
7,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,340.962,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
8,VF2PostLayoutStopReason.SOLUTION_FOUND,333.14,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
9,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,339.462,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
