condition,seed,final_loss,accuracy,preds
ideal,0,5.079780619715055e-06,4,"[-1, 1, 1, -1]"
ideal,1,8.786403823205332e-07,4,"[-1, 1, 1, -1]"
ideal,2,2.3926933807177902e-06,4,"[-1, 1, 1, -1]"
ideal,3,1.4857691879477508e-07,4,"[-1, 1, 1, -1]"
ideal,4,8.447225389897798e-07,4,"[-1, 1, 1, -1]"
noisy,0,0.0015544947231854033,4,"[-1, 1, 1, -1]"
noisy,1,0.0009899802217667414,4,"[-1, 1, 1, -1]"
noisy,2,0.0009316918291901461,4,"[-1, 1, 1, -1]"
noisy,3,0.0015526753848388902,4,"[-1, 1, 1, -1]"
noisy,4,0.0008876990315451769,4,"[-1, 1, 1, -1]"
