p2,seed,final_loss,accuracy,converged_by_iter
0.01,0,0.0015544947231854033,4,7
0.01,1,0.0009899802217667414,4,18
0.01,2,0.0009316918291901461,4,6
0.01,3,0.0015526753848388902,4,4
0.01,4,0.0008876990315451769,4,8
0.02,0,0.006026702833447064,4,7
0.02,1,0.0036872468223268823,4,18
0.02,2,0.0034713035022445916,4,6
0.02,3,0.00602671160593057,4,5
0.02,4,0.0034637264007978254,4,8
0.05,0,0.03440793139585964,4,9
0.05,1,0.02036591654919368,4,19
0.05,2,0.02034189063697429,4,7
0.05,3,0.020341939444380445,4,6
0.05,4,0.020341890873137397,4,9
0.1,0,0.11826721012781785,4,
0.1,1,0.07344100073944626,4,30
0.1,2,0.07344100007767228,4,11
0.1,3,0.07344100178879749,4,40
0.1,4,0.07344100026982348,4,12
0.2,0,0.34857216017375503,4,
0.2,1,0.23814400029546684,4,
0.2,2,0.23814400006264816,4,
0.2,3,0.2381440008054801,4,
0.2,4,0.2381440003859495,4,
