backend,num_qubits,twoq,arm,seed,input,label,z_exact,z_noisy,q0_physical,readout_error,routed_2q,blocks,shots,sim_seed,platform,processor,python,qiskit,qiskit_aer,qiskit_ibm_runtime,pennylane
FakeAachen,156,cz,A,0,00,-1,-0.9977557601066275,-0.97,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,0,01,1,0.9977572710780895,0.966,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,0,10,1,0.9977560581090166,0.965,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,0,11,-1,-0.9977575690804796,-0.974,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,1,00,-1,-0.9977557601066275,-0.97,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,1,01,1,0.9977572710780895,0.966,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,1,10,1,0.9977560581090166,0.965,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,1,11,-1,-0.9977575690804796,-0.974,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,2,00,-1,-0.9977557601066275,-0.97,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,2,01,1,0.9977572710780895,0.966,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,2,10,1,0.9977560581090166,0.965,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,2,11,-1,-0.9977575690804796,-0.974,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,3,00,-1,-0.9977557601066275,-0.97,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,3,01,1,0.9977572710780895,0.966,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,3,10,1,0.9977560581090166,0.965,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,3,11,-1,-0.9977575690804796,-0.974,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,4,00,-1,-0.9977557601066275,-0.97,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,4,01,1,0.9977572710780895,0.966,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,4,10,1,0.9977560581090166,0.965,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,A,4,11,-1,-0.9977575690804796,-0.974,0,0.0076904296875,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,B,0,00,-1,-0.9977557601066275,-0.9405,134,0.0235595703125,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,B,0,01,1,0.9977572710780895,0.943,134,0.0235595703125,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
FakeAachen,156,cz,B,0,10,1,0.9977560581090166,0.943,134,0.0235595703125,9,0,4000,0,Linux-6.8.0-64-generic-x86_64-with-glibc2.39,x86_64,3.12.3,2.5.2,0.17.2,0.50.0,0.45.1
