backend,twoq,arm,seed,input,label,q0_physical,readout_error,z_noisy,z_pred
FakeAachen,cz,A,0,00,-1,0,0.0076904296875,-0.97,-0.9691
FakeAachen,cz,A,0,01,1,0,0.0076904296875,0.966,0.973
FakeAachen,cz,A,0,10,1,0,0.0076904296875,0.965,0.9712
FakeAachen,cz,A,0,11,-1,0,0.0076904296875,-0.974,-0.9734
FakeAachen,cz,B,0,00,-1,134,0.0235595703125,-0.9405,-0.9432
FakeAachen,cz,B,0,01,1,134,0.0235595703125,0.943,0.9453
FakeAachen,cz,B,0,10,1,134,0.0235595703125,0.943,0.9458
FakeAachen,cz,B,0,11,-1,134,0.0235595703125,-0.9415,-0.9423
FakeAachen,cz,M1,0,00,-1,5,0.0025634765625,-0.9835,-0.9831
FakeAachen,cz,M1,0,01,1,5,0.0025634765625,0.9875,0.9843
FakeAachen,cz,M1,0,10,1,5,0.0025634765625,0.9875,0.9841
FakeAachen,cz,M1,0,11,-1,5,0.0025634765625,-0.9835,-0.9831
FakeAachen,cz,M4,0,00,-1,5,0.0025634765625,-0.985,-0.9819
FakeAachen,cz,M4,0,01,1,5,0.0025634765625,0.9875,0.9845
FakeAachen,cz,M4,0,10,1,5,0.0025634765625,0.9875,0.9845
FakeAachen,cz,M4,0,11,-1,5,0.0025634765625,-0.985,-0.9819
FakeBerlin,cz,A,0,00,-1,0,0.01611328125,-0.9395,-0.9358
FakeBerlin,cz,A,0,01,1,0,0.01611328125,0.944,0.942
FakeBerlin,cz,A,0,10,1,0,0.01611328125,0.9435,0.9387
FakeBerlin,cz,A,0,11,-1,0,0.01611328125,-0.94,-0.938
FakeBerlin,cz,B,0,00,-1,10,0.014892578125,-0.964,-0.9608
FakeBerlin,cz,B,0,01,1,10,0.014892578125,0.9605,0.9631
FakeBerlin,cz,B,0,10,1,10,0.014892578125,0.962,0.9637
FakeBerlin,cz,B,0,11,-1,10,0.014892578125,-0.961,-0.9618
FakeBerlin,cz,M1,0,00,-1,116,0.0048828125,-0.974,-0.976
FakeBerlin,cz,M1,0,01,1,116,0.0048828125,0.98,0.9769
