backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeManilaV2,cx,0,A,6,78,84,23,0.07598681796282503,
FakeManilaV2,cx,0,Z,6,50,56,16,0.07640681796282504,
FakeManilaV2,cx,0,P,6,50,56,16,0.07442681796282502,0
FakeManilaV2,cx,0,T,6,50,56,16,0.06049681796282503,
FakeManilaV2,cx,1,A,6,78,84,23,0.03884990983010856,
FakeManilaV2,cx,1,Z,6,50,56,16,0.034199909830108566,
FakeManilaV2,cx,1,P,6,50,56,16,0.03422990983010857,0
FakeManilaV2,cx,1,T,6,50,56,16,0.04216990983010858,
FakeManilaV2,cx,2,A,6,78,84,23,0.052167304604452694,
FakeManilaV2,cx,2,Z,6,50,56,16,0.04839730460445274,
FakeManilaV2,cx,2,P,6,50,56,16,0.04839730460445274,0
FakeManilaV2,cx,2,T,6,50,56,16,0.03229893424872615,
FakeManilaV2,cx,3,A,6,78,84,23,0.020265905232708815,
FakeManilaV2,cx,3,Z,6,50,56,16,0.019395757073363447,
FakeManilaV2,cx,3,P,6,50,56,16,0.019796920410760734,0
FakeManilaV2,cx,3,T,6,50,56,16,0.026749315140493425,
FakeManilaV2,cx,4,A,6,78,84,23,0.04329023634607185,
FakeManilaV2,cx,4,Z,6,50,56,16,0.04239933755235287,
FakeManilaV2,cx,4,P,6,50,56,16,0.04326023634607184,0
FakeManilaV2,cx,4,T,6,50,56,16,0.047609337552352866,
FakeAachen,cz,0,A,6,70,76,22,0.011856817962825034,
FakeAachen,cz,0,Z,6,66,72,23,0.011806817962825024,
FakeAachen,cz,0,P,6,66,72,23,0.012196817962825037,0
FakeAachen,cz,0,T,6,58,64,19,0.012285934944416167,
FakeAachen,cz,1,A,6,70,76,22,0.007932804884457065,
FakeAachen,cz,1,Z,6,66,72,23,0.008002804884457055,
FakeAachen,cz,1,P,6,66,72,23,0.00804280488445707,0
FakeAachen,cz,1,T,6,58,64,19,0.0071447211197880845,
FakeAachen,cz,2,A,6,70,76,22,0.0085173046044527,
FakeAachen,cz,2,Z,6,66,72,23,0.0085173046044527,
FakeAachen,cz,2,P,6,66,72,23,0.0085173046044527,0
FakeAachen,cz,2,T,6,58,64,19,0.008397304604452701,
FakeAachen,cz,3,A,6,70,76,22,0.007409880461111065,
FakeAachen,cz,3,Z,6,66,72,23,0.007399880461111055,
FakeAachen,cz,3,P,6,66,72,23,0.007309880461111048,0
FakeAachen,cz,3,T,6,58,64,19,0.007529524424993862,
FakeAachen,cz,4,A,6,70,76,22,0.007909337552352885,
FakeAachen,cz,4,Z,6,66,72,23,0.00790933755235287,
FakeAachen,cz,4,P,6,66,72,23,0.007939337552352871,0
FakeAachen,cz,4,T,6,58,64,19,0.008792420285548498,
FakeBerlin,cz,0,A,6,70,76,22,0.023376817962825036,
FakeBerlin,cz,0,Z,6,66,72,23,0.023346817962825034,
FakeBerlin,cz,0,P,6,66,72,23,0.02350681796282504,0
FakeBerlin,cz,0,T,6,58,64,19,0.024226817962825026,
FakeBerlin,cz,1,A,6,70,76,22,0.014739909830108557,
FakeBerlin,cz,1,Z,6,66,72,23,0.014759909830108548,
FakeBerlin,cz,1,P,6,66,72,23,0.014739909830108547,0
FakeBerlin,cz,1,T,6,58,64,19,0.014042427230194757,
FakeBerlin,cz,2,A,6,70,76,22,0.012567304604452703,
FakeBerlin,cz,2,Z,6,66,72,23,0.01256730460445271,
